username,firstname,lastname,gender,dob,blood,emails,mobileNumbers,education,interests
mani_rz,mani,subbu,male,10-02-1995,A-,manirz@gmail.com,8987676665,"UG-MIT","c++,symfony"
rajini,rajini,khan,male,10-02-1996,O+,rajinikhan@gmail.com,8987676775,"UG-MIT","php,c++"
radha,radha,krish,female,02-02-1998,A+,radha@gmail.com,9878990989,"UG-IIT","c++,php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy1,vetri,maran,male,22-06-1985,A+,thalapathy1@gmail.com,8667271112,"UG-IIT","php"
thalapathy2,vetri,maran,male,22-06-1985,A+,thalapathy2@gmail.com,8667271113,"UG-IIT","php"
thalapathy3,vetri,maran,male,22-06-1985,A+,thalapathy3@gmail.com,8667271114,"UG-IIT","php"
thalapathy4,vetri,maran,male,22-06-1985,A+,thalapathy4@gmail.com,8667271115,"UG-IIT","php"
thalapathy5,vetri,maran,male,22-06-1985,A+,thalapathy5@gmail.com,8667271116,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy6@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
thalapathy,vetri,maran,male,22-06-1985,A+,thalapathy@gmail.com,8667271111,"UG-IIT","php"
